equip-10000001,BM 3-12X40
equip-40000236,
equip-10000237,MkV运动骨骼
equip-20000237,回避+<dodge>//n移速+<speed>技能增强$灰熊MkⅤ专用
equip-30000237,按照灰熊MkV要求开发的新型运动骨骼，外表虽然复古，但是性能十分惊人，是灰熊的爱用品。
equip-40000237,
equip-10000238,9x18mm FTX
equip-20000238,伤害+<pow>//n梯队命中+10%$马卡洛夫专用
equip-30000238,新型的9x18mm马卡洛夫空尖弹，顶头的红盖能使杀伤破片更加稳定，有效提升了杀伤可靠性，马卡洛夫的爱用子弹。
equip-40000238,梯队命中+10%
equip-10000239,Mk4 SLAP
equip-20000239,穿甲+<armor_piercing>//n伤害<pow>技能增加$MG4专用
equip-30000239,由IOP专为MG4开发的5.56mm口径脱壳穿甲弹，因为做工精细使得单发的造价十分昂贵。
equip-40000239,
equip-10000240,翼型机械盾
equip-20000240,护甲+<armor> 移速+<speed>//n$RMB-93专用
equip-30000240,外形虽然是飞翼造型，但是似乎并没有飞行能力的机械盾，RMB93的专用盾牌。
equip-40000240,
equip-10000241,M118LR
equip-20000241,穿甲+<armor_piercing>//n伤害+<pow>命中+<hit>$xm3专用
equip-30000241,XM3爱用的军用狙击弹，在长距离作战上有着惊异的准确度和优秀的杀伤力。
equip-40000241,
equip-10000242,7N14
equip-20000242,穿甲+<armor_piercing>//n伤害+<pow>技能增加$SVD专用
equip-30000242,为德拉古诺夫狙击系统开发的7.62mm口径穿甲弹，增加了对装甲单位的杀伤力。
equip-40000242,
equip-10000243,专用光学倍镜
equip-20000243,伤害+<pow>//n暴击概率+<critical_percent><%>$F2000专用
equip-30000243,专为F2000开发的1.6倍光学镜，分划亦可在低光环境下使用，虽然实用性存在不少问题，但是因为外形成了F2000的爱用品。
equip-40000243,
equip-10000244,专用战术电筒
equip-20000244,伤害+<pow> 命中+<hit>//n回避+<dodge>$PP-2000专用
equip-30000244,专为PP-2000设计的战术手电，可装于前握把下方，结构简单可靠。
equip-40000244,
equip-10000245,ZEVT扳机组
equip-20000245,命中+<hit> 回避+<dodge>//n暴击概率+<critical_percent><%>$格洛克17专用
equip-30000245,ZEVT为格洛克系列设计的扳机组，经过调整后大幅度提升了扳机手感。
equip-40000245,
equip-10000246,RBL型握把
equip-20000246,暴击概率+<critical_percent><%>//n回避+<dodge>技能增加$杰里科专用
equip-30000246,为紧凑型杰里科（RBL型）准备的聚合物握把，降低了整枪的重量使其更加便于携带了。需要配合RBL型的上身使用。
equip-40000246,
equip-10000247,液压系统后托
equip-20000247,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$TAC-50专用
equip-30000247,专为A1-R2型设计的液压后座缓冲系统，能有效减少.50BMG的后坐力，TAC-50的爱用品之一。
equip-40000247,
equip-10000248,9A高性能芯片
equip-20000248,伤害+<pow>//n射速+<rate>技能增加$9A-91专用
equip-30000248,专为9A-91准备的升级芯片，对人形性能有极大的提升。
equip-40000248,
equip-10000249,SR3特制消音
equip-20000249,伤害+<pow> 命中+<hit>//n回避+<dodge>$SR-3MP专用
equip-30000249,在SR-3MP的原消音的基础上改造设计的全新消音，长度上针对了近距离战斗进行了缩减，同时保持了应有的消音效果。
equip-40000249,
equip-10000250,轻量骨骼MkQ
equip-20000250,伤害+<pow>//n回避+<dodge>技能增加$蜜獾专用
equip-30000250,专为蜜獾设计，开发代号Q的新型特种机动外骨骼，流线型的外表和玫瑰金色的骨架极具现代感。
equip-40000250,
equip-10000251,摇摆魔铃
equip-20000251,命中+<hit>//n回避+<dodge>$米诺斯专用
equip-30000251,来自米诺斯父亲的礼物，使用方法是在米诺斯不敌对手时摇响。但因为这种情况从未发生，所以无人知晓铃铛的音色。
equip-40000251,
equip-10000252,魔导书下卷
equip-20000252,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$百合铃专用
equip-30000252,百合铃的秘密藏品，记载着各种用途的咒语，唯独缺少了最关键的那一条。
equip-40000252,
equip-10000253,奇迹咖喱勺
equip-20000253,回避+<dodge> 伤害+<pow>//n$小邪神专用
equip-30000253,“没有什么事是一顿咖喱解决不了的，如果有，那就——”小邪神搅拌着锅中的咖喱如是说，下一秒百合铃的面前只剩下了这把咖喱勺。
equip-40000253,
equip-10000254,美梦多纳滋
equip-20000254,暴击伤害+<critical_harm_rate><%>//n移速<speed>$佩可拉专用
equip-30000254,佩可拉分清梦境和现实的重要道具，凡是能吃到如此美味的多纳滋的地方，都是在梦里的天国。
equip-40000254,
equip-10000255,纸袋头盔
equip-20000255,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$美杜莎专用
equip-30000255,头盔并非全都坚不可摧，有的头盔不过是一张薄薄的牛皮纸做成。但戴上它，世间将不再有人类被石化；摘下它，自己就获得了守护朋友的力量。
equip-40000255,
equip-10000256,MICO
equip-20000256,暴击概率+<critical_percent><%>//n弹量+<bullet_number_up>$M249 SAW专用
equip-30000256,TYRT为机枪开发的机枪专用弹药背包，经过IOP的调整后成为了M249SAW的专用背包。
equip-40000256,
equip-10000257,EKP-8-18
equip-20000257,命中+<hit>//n暴击概率+<critical_percent><%>$DP28专用
equip-30000257,Kobra红点的一种，经过特殊的调整后成为了DP28的专用品。
equip-40000257,
equip-10000258,7.92反坦克弹
equip-20000258,穿甲+<armor_piercing>//n伤害+<pow>$PzB39专用
equip-30000258,在旧世界战场中使用的一种特殊口径子弹，专为PzB39设计，经过IOP的调整后可以对现有的装甲目标造成可观的伤害。
equip-40000258,
equip-10000259,陈旧的迷彩服
equip-20000259,暴击伤害+<critical_harm_rate><%>$蒙德拉贡M1908专用
equip-30000259,一直被蒙德拉贡携带在身上的老旧迷彩披风，战斗中留下的各种伤痕和污迹诉说着过去战场上的荣耀。
equip-40000259,
equip-10000260,4X辅助处理器
equip-20000260,移速+<speed>//n回避+<dodge>$G36C专用
equip-30000260,IOP为G36C设计的专用辅助处理器，能够极大地提升G36C的心智运算能力。
equip-40000260,
equip-10000261,客制T1红点瞄准
equip-20000261,伤害+<pow>//n命中+<hit>$利贝罗勒专用
equip-30000261,IOP为利贝罗勒特别设计的T1红点瞄准，直接使用焊接将一块皮轨和枪机连接后才能搭载的配件，极大地提升了瞄准效率。
equip-40000261,
equip-10000262,B32穿甲弹
equip-20000262,伤害+<pow>//n穿甲+<armor_piercing>$猎豹M1专用
equip-30000262,IOP为猎豹M1重新改良设计的B32燃烧穿甲弹，能对装甲目标造成非常可观的伤害。
equip-40000262,
equip-10000263,SP81
equip-20000263,命中+<hit>//n梯队命中+10%$MP-443专用
equip-30000263,在过去的战争中使用的信号枪，是MP443的爱用品之一。
equip-40000263,梯队命中+10%
equip-10000264,PK专用三脚架
equip-20000264,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>技能增加$PK专用
equip-30000264,专为PK机枪准备的三脚架，在过去是十分常见的配件，比起普通的双脚架有更加优秀的稳定性。
equip-40000264,
equip-10000265,聚合物手枪握把
equip-20000265,伤害+<pow>//n命中+<hit>技能增加$M37专用
equip-30000265,为M37设计的无托手枪握把，适合抵在腰部进行快速射击，向敌人宣泄火力的最佳途径！
equip-40000265,
equip-10000266,ImpulsIIA/C
equip-20000266,回避+<dodge>//n暴击概率+<critical_percent><%>$Px4 风暴专用
equip-30000266,为Px4风暴专门定制9毫米消音器，紧凑版本缩短了长度使其更适合在狭小的空间里作战，是Px4风暴的爱用品之一。
equip-40000266,
equip-10000267,K型短枪管
equip-20000267,暴击概率+<critical_percent><%>//n回避+<dodge> 命中+<hit>$P38专用
equip-30000267,原本是为P38K设计的短枪管，经过IOP的调整后可以安装在P38上了，相比起原本的长枪管，短枪管在行动时更加的灵巧，也便于隐蔽携带了。
equip-40000267,
equip-10000268,DBP10（03型）
equip-20000268,伤害+<pow>//n暴击伤害+<critical_harm_rate><%>$03式专用
equip-30000268,IOP专为03式重新调整的DBP10弹药，和普通的DBP10相比，初速有显著的提升。
equip-40000268,
equip-10000269,ILWLP
equip-20000269,回避+<dodge>//n夜视能力+<night_view_percent><%>$Mk23专用
equip-30000269,专为Mk23设计的下挂战术模组，同时拥有可见/IR镭射指示功能，附加可见/IR照明功能，功能非常齐全。
equip-40000269,
equip-10000270,OMEGA滑架
equip-20000270,命中+<hit> 暴击概率+<critical_percent><%>//n伤害+<pow>技能增加$CZ75专用
equip-30000270,全尺寸的CZ75B型上滑夹，配合OMEGA扳机组，使得快速射击更加流畅。
equip-40000270,
equip-10000271,.357平头铅弹
equip-20000271,伤害+<pow> 穿甲<armor_piercing>//n$蟒蛇专用
equip-30000271,IOP专为蟒蛇调整的200gr装药平头铅弹，更大的火药装量和沉重的铅弹头换来了非同寻常的破坏力。
equip-40000271,
equip-10000272,托卡列夫被帽空尖弹
equip-20000272,伤害+<pow> 穿甲<armor_piercing>//n$PPSh-41专用
equip-30000272,为PPSh-41定制的专属托卡列夫被帽空尖弹，极大地提升了武器的杀伤力。
equip-40000272,
equip-10000273,ISM-V
equip-20000273,伤害+<pow> 命中+<hit>//n射速<rate>$XM8专用
equip-30000273,为XM8系统量身定制的复合瞄准系统，内置了红点和激光系统用于提升瞄准效率，是XM8的爱用品之一。
equip-40000273,
equip-10000274,AN94现代化套件
equip-20000274,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$AN-94专用
equip-30000274,过去一位知名的枪械设计师为AN-94专门设计的消音器与皮轨套件，为AN-94增加了更加全面的挂载能力。
equip-40000274,
equip-10000275,Perst4
equip-20000275,伤害+<pow> 回避+<dodge>//n暴击伤害+<critical_harm_rate><%>$AK-15专用
equip-30000275,为AK-15改造后准备的专用Perst4镭射照准器，内部经过改造安装了忤逆小队专用的芯片，使得镭射照准的信息能够在小队中共有。
equip-40000275,
equip-10000276,M13框架
equip-20000276,暴击概率+<critical_percent><%>//n回避+<dodge>技能增强$P7专用
equip-30000276,针对P7原框架的缺点做出了改进的新框架，特点是增宽的握把以适应双排弹匣和握把侧面新增的弹匣释放，同时将扳机护圈增大以及增添了防热挡板。
equip-40000276,
equip-10000277,DHG延长护木
equip-20000277,移速+<speed> 命中+<hit>//n回避+<dodge>技能增强$P90专用
equip-30000277,DHG工作室为P90专门订制的带有Mlok系统的，极大地提升了P90的客制搭载能力。
equip-40000277,
equip-10000278,P22镭射指示器
equip-20000278,暴击概率+<critical_percent><%>//n回避+<dodge>$P22专用
equip-30000278,为P22专门设计的小尺寸激光瞄准器，经过IOP的优化使得瞄准数据能够实时反应在P22的运算系统当中。
equip-40000278,
equip-10000279,M5刺刀
equip-20000279,暴击概率+<critical_percent><%>//n射速+<rate>$M1加兰德专用
equip-30000279,一种专为加兰德准备的刺刀，特色是没有一般刺刀上面的环形卡扣用于固定在枪管上面，所以看起来比起刺刀更像是一把战斗匕首。
equip-40000279,
equip-10000280,Wolf9毫米空尖弹
equip-20000280,伤害+<pow> 命中+<hit>//n射速<rate>$T77专用
equip-30000280,由WOLF专门为T77调整的9毫米空尖弹，极大地降低了故障率和射击手感。
equip-40000280,
equip-10000281,57-N-323S
equip-20000281,穿甲+<armor_piercing>//n伤害+<pow>$SVT-38专用
equip-30000281,一种早期的钢芯弹，重量轻巧便于携带，由IOP为SVT-38专门调整后成了她的专属弹药。
equip-40000281,
equip-10000282,64式狙击镜
equip-20000282,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>技能增强$64式自专用
equip-30000282,一款专为64式自设计的2.2倍光学镜，虽然说实质上是退役的M84狙击镜，但是也是陪伴64式自战斗多年的可靠的伙伴。
equip-40000282,
equip-10000283,Barrett QDL
equip-20000283,暴击概率+<critical_percent><%>//n伤害+<pow>技能增强$M82A1专用
equip-30000283,专为M82A1定制的快拆消音，体积十分惊人，可以根据任务需求进行快速安装。
equip-40000283,
equip-10000284,34号信号枪
equip-20000284,命中+<hit>//n梯队命中+10%$PPK专用
equip-30000284,在过去战争中活跃的信号枪，PPK的爱用品之一，体积小巧方便携带。
equip-40000284,梯队命中+10%
equip-10000285,KWS后拖
equip-20000285,暴击概率+<critical_percent><%>//n伤害+<pow> 命中+<hit>$MG3专用
equip-30000285,以KWS升级计划中出现的后拖加以改造而成的现代化产物，能够根据使用情景调整高度。
equip-40000285,
equip-10000286,M43信号枪
equip-20000286,命中+<hit>//n梯队命中+20%$索米专用
equip-30000286,在过去的战争中使用的信号枪，索米的爱用品之一，经过IOP的改造后能发射更多的信号弹种。
equip-40000286,梯队命中+20%
equip-10000287,HARRIS脚架
equip-20000287,暴击概率+<critical_percent><%>//n伤害+<pow>$OBR专用
equip-30000287,HARRIS的经典双脚架，通过larue的转接口安装在OBR的皮轨上，结构简单可靠。
equip-40000287,
equip-10000288,CS红点
equip-20000288,伤害+<pow> 命中+<hit>//n射速<rate>技能增强$Ak 5专用
equip-30000288,AP社的一款经典红点产品，经过了IOP为Ak 5的定制调整。
equip-40000288,
equip-10000289,GLX160
equip-20000289,暴击概率+<critical_percent><%>//n伤害+<pow>$ARX-160专用
equip-30000289,专为ARX-160设计的榴弹发射器，可以取下来单独使用或者安装在ARX-160的下导轨使用。
equip-40000289,
equip-10000290,MG42专用脚架
equip-20000290,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$MG42专用
equip-30000290,MG42的经典脚架，经过了IOP的改造后提升了结构强度，是MG42的必备品之一。
equip-40000290,
equip-10000291,卢格蜗牛型弹鼓
equip-20000291,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$P08专用
equip-30000291,P08的经典配件之一，32发的弹鼓大大提升了人形的战斗续航能力。
equip-40000291,
equip-10000292,后座缓冲套件
equip-20000292,伤害+<pow>//n命中+<hit>技能增强$塞伽12型专用
equip-30000292,PT社专为塞伽12型开发的特殊后座缓冲系统，据使用者所说能消除40%-50%的后坐力。
equip-40000292,
equip-10000293,纳米多功能披肩
equip-20000293,伤害+<pow>//n护甲+<armor>$M6 ASW专用
equip-30000293,IOP为M6 ASW开发的多功能披肩，采用了先进材料，具有相当的防弹能力。
equip-40000293,
equip-10000294,ACR固定后托
equip-20000294,暴击概率+<critical_percent><%>//n伤害+<pow>技能增强$ACR专用
equip-30000294,ACR专用的固定后拖，虽然无法折叠但是提升了可靠性，可以根据任务需求切换。
equip-40000294,
equip-10000295,专用Mlok护木
equip-20000295,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>技能增强$AUG专用
equip-30000295,CG社专为AUG设计的轻量Mlok护木，能够提高AUG的挂载能力。
equip-40000295,
equip-10000296,92式信号枪
equip-20000296,命中+<hit>//n梯队命中+10%$92式专用
equip-30000296,92式专用的信号枪，是一款出名信号枪的复刻品，经过IOP改良后提升了可靠性。
equip-40000296,梯队命中+10%
equip-10000297,皇家卫队制服
equip-20000297,暴击伤害+<critical_harm_rate><%>//n回避<dodge>$Kar98k专用
equip-30000297,以Kar98k的印象制作的服饰，精致的外观之下是结合了最新防弹技术的材料，同时拥有狙击人形所需的其他功能。
equip-40000297,
equip-10000298,L42试验穿甲弹
equip-20000298,穿甲+<armor_piercing>//n伤害+<pow>$李-恩菲尔德专用
equip-30000298,由IOP为李-恩菲尔德单独开发的特殊穿甲弹，结合了脱壳穿甲弹的技术，使其破坏力有了极大的提升。
equip-40000298,
equip-10000299,RS芯片
equip-20000299,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$56-1式专用
equip-30000299,56-1式专用的芯片，能够有效提升56-1式的战斗性能。
equip-40000299,
equip-10000300,12x56CBX倍镜
equip-20000300,暴击概率+<critical_percent><%>//n伤害+<pow>$QBU-88专用
equip-30000300,QBU-88专用版的KAH制3-12x56高倍镜，比原配的瞄准镜拥有更高的可靠性。
equip-40000300,
equip-10000301,ZF4
equip-20000301,暴击概率+<critical_percent><%>//n射速+<rate>$G43专用
equip-30000301,由IOP按照过去的图纸专为G43生产的倍镜//c能够有效提升G43的作战效率。
equip-40000301,
equip-10000302,BA6瞄准器
equip-20000302,回避+<dodge>//n暴击概率+<critical_percent><%>$P99专用
equip-30000302,由著名光学器械生产商STN专为P99设计生产的激光瞄准器//c经过IOP的调试后可靠性得到了进一步的提升。
equip-40000302,
equip-10000303,EVO3护木
equip-20000303,伤害+<pow>//n回避+<dodge>$EVO 3专用
equip-30000303,由MI为EVO 3专门设计的mlok护木//c能够极高地提升EVO 3的挂载能力。
equip-40000303,
equip-10000304,GRUNT导轨
equip-20000304,伤害+<pow> 暴击概率+<critical_percent><%>//n命中+<hit>技能增强$K2专用
equip-30000304,K2现代化改件之一//c有效提升了K2的挂载能力。
equip-40000304,
equip-10000305,SF武器灯改
equip-20000305,回避+<dodge>//n梯队夜视能力+5%$RF//cMG不可用
equip-30000305,在过去由SF公司开发的通用武器灯，经过了IOP的改良能够通过战术人形的处理器直接进行控制，能有效提升夜间作战能力，除步枪和机枪外均可装配。
equip-40000305,梯队夜视能力+5%
equip-10000306,Mk3喉缩管
equip-20000306,弹量+<bullet_number_up>//n命中+<hit>$SG专用
equip-30000306,一款通用的霰弹用喉缩管，能够控制弹丸的散布提升对小范围的破坏力，霰弹枪可装备。
equip-40000306,
equip-10000307,Mk4喉缩管
equip-20000307,弹量+<bullet_number_up>//n命中+<hit>$SG专用
equip-30000307,一款通用的霰弹用喉缩管，由Mk3改良制成，使用了全新的材料大幅提升了可靠性，霰弹枪可装备。
equip-40000307,
equip-10000308,Mk0多用途喉缩管
equip-20000308,弹量+<bullet_number_up>//n命中+<hit>$SG专用
equip-30000308,一款最新式的通用霰弹喉缩管，使用了过去从未使用过的特种材料，甚至能够对喉缩口径进行一定的调整，同时兼顾了可靠性，霰弹枪可装备。
equip-40000308,
equip-10000309,专注芯片
equip-20000309,伤害+<pow> 射速<rate>//n暴击伤害+<critical_harm_rate><%>$SMG//cAR专用
equip-30000309,一款能够有效提升人形射击时的专注力的新型通用芯片，冲锋枪和突击步枪均可装备。
equip-40000309,
equip-10000310,M1050 LRF
equip-20000310,伤害+<pow>//n前置冷却-30%$RF专用
equip-30000310,一款可以单兵携带的激光测距仪兼望远镜，让人形在进行长距离侦查或打击时能获得更多信息，部分步枪可装备。
equip-40000310,前置冷却-30%
equip-10000311,M200X LRF
equip-20000311,伤害+<pow>//n前置冷却-80%$RF专用
equip-30000311,由IOP在M1050之上开发而来的适用于战术人形的激光测距仪兼望远镜，安装了数据链模块有效提升了部队的连携能力，部分步枪可装备。
equip-40000311,前置冷却-80%
equip-10000312,HD50脚架
equip-20000312,命中+<hit> 移速<speed>//n换弹时间-0.5秒$MG专用
equip-30000312,过去由AT公司开发的一款通用脚架，经过IOP改造能够更加有效地提升人形的战斗效率，机枪可装备。
equip-40000312,换弹时间-0.5秒
equip-10000313,HD50脚架Mk2
equip-20000313,命中+<hit> 移速<speed>//n换弹时间-1秒$MG专用
equip-30000313,由普通的HD50脚架改造而成，加强了内部的人形专用电子控制芯片，能够更加有效地提升人形的战斗效率，机枪可装备。
equip-40000313,换弹时间-1秒
equip-10000314,HD100脚架
equip-20000314,命中+<hit> 移速<speed>//n换弹时间-2秒$MG专用
equip-30000314,由HD50Mk2脚架改造而成，使用了全新的材料，轻量化的同时还提升了可靠性，同时内部电路得到了进一步强化，能大大提升人形的战斗效率，机枪可装备。
equip-40000314,换弹时间-2秒
equip-10000315,FP6折叠后托
equip-20000315,命中+<hit>//n射速<rate>技能增强$FP-6专用
equip-30000315,FP-6常见的专用配件之一，折叠后托后能够方便FP-6在狭窄的环境里执行任务。
equip-40000315,
equip-10000316,PT2可调节后托
equip-20000316,伤害+<pow> 暴击概率+<critical_percent><%>//n命中+<hit>技能增强$PKP专用
equip-30000316,PKP爱用的ZNT产可调节后托//c兼具了外观和实用性的配件。
equip-40000316,
equip-10000317,MK318 MODX
equip-20000317,伤害+<pow>//n$SCAR-L专用
equip-30000317,IOP为SCAR-L单独开发//c以MK318军用弹为蓝本开发的全新子弹//c拥有优异的杀伤力与穿透力。
equip-40000317,
equip-10000318,M948 MODX
equip-20000318,穿甲+<armor_piercing>//n伤害+<pow>$SCAR-H专用
equip-30000318,IOP为SCAR-H单独开发//c以M949军用弹为蓝本开发的全新脱壳穿甲弹//c精准度和杀伤力对比起普通的M948都有极大的提升。
equip-40000318,
equip-10000319,PSP特殊弹
equip-20000319,伤害+<pow>技能增强//n$ADS专用
equip-30000319,专为ADS设计的水下用特种弹药//c经由IOP改造后在非水下环境也能发挥其价值。
equip-40000319,
equip-10000320,MAB高性能运动骨骼
equip-20000320,伤害+<pow>//n回避+<dodge>$PA-15专用
equip-30000320,IOP为PA-15开发新型运动骨骼//c内置可以和心智云图共享战斗数据的芯片//c极大地提高了人形的作战效率。
equip-40000320,
equip-10000321,8mm毛瑟特殊弹
equip-20000321,穿甲+<armor_piercing>//n伤害+<pow>技能增强$ZB-26专用
equip-30000321,IOP为ZB-26独立开发的8mm毛瑟弹//c弹头采用了和Patrone 88一样的圆头造型//c得益于IOP的技术使得其杀伤力甚至在现代弹头之上。
equip-40000321,
equip-10000322,6.5X50mm改良弹
equip-20000322,穿甲+<armor_piercing>//n伤害+<pow>$八一式马专用
equip-30000322,经过IOP改良后的八一式马步枪专用6.5x50mm穿甲弹//c可靠性和杀伤力都得到了保障。
equip-40000322,
equip-10000323,MHS33
equip-20000323,暴击概率+<critical_percent><%>//n伤害+<pow>$HK33专用
equip-30000323,专为HK33现代化准备的Mlok护木//c极大的提升了握持手感和挂载能力。
equip-40000323,
equip-10000324,Dreibein 34
equip-20000324,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$MG34专用
equip-30000324,经过IOP的复原和加工的MG34专用三脚架//c能使武器在战斗中更加稳定地提供火力支援。
equip-40000324,
equip-10000325,扩音喇叭
equip-20000325,暴击概率+<critical_percent><%>//n暴击伤害+<critical_harm_rate><%>$源樱专用
equip-30000325,常见的扩音喇叭，优点是非常结实。它早已记不清陪伴源樱走过多少次路演、争吵、呐喊……或许接下来还要陪伴很久很久。
equip-40000325,
equip-10000326,初心者的三味线
equip-20000326,伤害+<pow> 命中+<hit>//n暴击概率+<critical_percent><%>$夕雾专用
equip-30000326,三味线初学者时期的夕雾所使用的琴。即便现在琴声婉转流畅，她也不曾忘记过去那段时光。
equip-40000326,
equip-10000327,鱿鱼丝
equip-20000327,伤害+<pow>//n命中<hit>$山田多惠专用
equip-30000327,鱿鱼丝，山田多惠的生命之光，欲念之火。绝没有人可以活着从她身边抢走鱿鱼丝，绝没有！
equip-40000327,
equip-10000328,星星发夹
equip-20000328,命中+<hit>//n梯队命中+10%$星川莉莉专用
equip-30000328,这是一枚漂亮的发夹，也是星川莉莉的重要组成部分。没有星星发夹的星川莉莉是不完整的！
equip-40000328,梯队命中+10%
equip-10000329,爱的便当盒
equip-20000329,伤害+<pow> 射速+<rate>//n暴击伤害<critical_harm_rate><%>$水野爱专用
equip-30000329,水野爱常用的便当盒。便当盒本身很普通，不普通的是每一位填满这个便当盒的人都心怀关爱。
equip-40000329,
equip-10000330,尾崎人偶
equip-20000330,伤害+<pow> 射速<rate>//n暴击伤害+<critical_harm_rate><%>$绀野纯子专用
equip-30000330,据说是按照指挥官的外貌来进行绘制，但究竟有几分相似，绘制者和被绘制的对象各有说法。
equip-40000330,
equip-10000331,队长袖章
equip-20000331,伤害+<pow> 命中<hit>//n护甲+<armor>$二阶堂咲专用
equip-30000331,写有法兰秀秀的万叶假名的袖章，某前暴走族曾积极推广，但遭到队友的一致否决。
equip-40000331,
equip-10000332,SBAL-PL
equip-20000332,梯队夜视能力+5%//n回避+<dodge>技能增强$FN-57专用
equip-30000332,FN-57爱用的紧凑型手枪下挂照明，提供可视绿镭射和500流明的强光，奇特的造型有着一股浓厚的未来感，从性能和外观上讲都相当的优秀的产品。
equip-40000332,梯队夜视能力+5%
equip-10000333,M2三脚架Mk2
equip-20000333,伤害+<pow> 移速<speed>//n换弹时间-2秒$M1919A4专用
equip-30000333,IOP为M1919A4改造的M2三脚架，使用新式材料制成，能够更好地吸收后座力同时减轻了重量。
equip-40000333,换弹时间-2秒
equip-10000334,大宇运动骨骼mk5
equip-20000334,伤害<pow>//n回避+<dodge>$K5专用
equip-30000334,根据K5的战斗数据开发的特殊运动骨骼，能够大幅提升K5的战斗效率。
equip-40000334,
equip-10000335,11式信号枪
equip-20000335,命中+<hit>//n梯队命中+20%$樱花专用
equip-30000335,IOP根据10式信号枪为樱花重新设计的专属信号枪，能够和樱花的心智云图直接进行数据交换。
equip-40000335,梯队命中+20%
equip-10000336,STM突击盾
equip-20000336,移速<speed> 护甲+<armor>//n受到的伤害-1$DP-12专用
equip-30000336,在DP-12原有的盾牌上改造而成的全新专属突击盾，减轻了重量的同时大幅提高了防弹效果。
equip-40000336,受到的伤害-1
equip-10000337,7BT1
equip-20000337,穿甲+<armor_piercing>//n射速+<rate>$莫辛-纳甘改型专用
equip-30000337,带有IOP改良设计后的BT穿甲曳光弹头的特制狙击弹，即使对于有装甲防护能力的目标也能造成可观的杀伤能力。
equip-40000337,
equip-10000338,SBR专用护木
equip-20000338,射速+<rate>//n暴击概率+<critical_percent><%>$ST AR-15改型专用
equip-30000338,16Lab特制的SBR轻量护木，能够提升ST AR-15副武器的挂载能力
equip-40000338,
equip-10000339,.223竞赛弹
equip-20000339,穿甲+<armor_piercing>//n伤害+<pow>技能增加$SL8专用
equip-30000339,IOP为SL8专门开发的专用.223口径竞赛弹，精良的工艺带来了子弹性能的极大提升。
equip-40000339,
equip-10000340,M2特制穿甲弹
equip-20000340,穿甲+<armor_piercing>//n伤害+<pow>技能增加$M1918专用
equip-30000340,在M2穿甲弹基础上大幅加强了枪口动能，弹道表现也有不小的提升。
equip-40000340,
equip-10000341,7.62P80穿甲弹
equip-20000341,穿甲+<armor_piercing>//n伤害+<pow>技能增强$UKM-2000专用
equip-30000341,IOP为UKM-2000独自开发的7.62*51mm口径穿甲弹，针对了UKM-2000的枪管进行了大量的优化大幅提升了弹药的出膛速度。
equip-40000341,
equip-10000342,57式信号枪
equip-20000342,命中+<hit>//n梯队命中+20%$斯捷奇金改型专用
equip-30000342,斯捷奇金一直随身携带的信号枪，经过IOP的改造后能更好地辅助队伍作战。
equip-40000342,梯队命中+20%
equip-10000343,64式信号枪
equip-20000343,命中+<hit>//n梯队命中+20%$64式改型专用
equip-30000343,64式最爱使用的信号枪，经过IOP的改造后更方便战时指挥和联络。
equip-40000343,梯队命中+20%
equip-10000344,特制尼龙握把
equip-20000344,回避+<dodge>//n暴击概率+<critical_percent><%>$布伦·坦专用
equip-30000344,专为布伦·坦设计的尼龙制握把，大大地提升了握持手感。
equip-40000344,
equip-10000345,特制骨架式枪托
equip-20000345,暴击概率+<critical_percent><%>//n伤害+<pow>$M1A1专用
equip-30000345,专为M1A1设计的骨架式枪托，相比常见的金属折叠枪托，在折叠结构上进行了升级改良。
equip-40000345,
equip-10000346,托卡列夫手枪弹
equip-20000346,伤害+<pow>//n穿甲<armor_piercing>$托卡列夫专用
equip-30000346,在旧世界战场中使用的一种子弹，是托卡列夫非常喜欢使用的规格。
equip-40000346,
equip-10000347,mk87改进型突击盾
equip-20000347,移速+<speed>//n护甲+<armor>技能增强$M1887专用
equip-30000347,IOP在M1887原有的盾牌上进行了模块化改造后的技术结晶，同时优化了制作工艺大大提升了防弹效能。
equip-40000347,
equip-10000348,特制10毫米Auto弹
equip-20000348,伤害+<pow> 命中+<hit>//n穿甲<armor_piercing>$MP5改型专用
equip-30000348,在10毫米Auto弹的基础上缩短了弹壳，极大地降低了后座冲击力。
equip-40000348,
equip-10000349,特制通讯耳机
equip-20000349,伤害+<pow> 移速+<speed>//n换弹时间-2秒$MG4改型专用
equip-30000349,MG4最常佩戴的头部装备，在高噪音环境中也可以确保通讯清晰，听音时泄漏小，具有良好的保密性。
equip-40000349,换弹时间-2秒
equip-10000350,SAAB运动外骨骼
